TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Baseline Audit — Inventory All References,,,,,,
task,List every public-facing platform, profile, or directory where this repository is referenced or linked @people-self @place-anywhere @tools-github,2,1,,,,,
task,List every social or professional profile where the repository URL appears (bio, about, portfolio, etc.) @people-self @place-anywhere @tools-socials,2,1,,,,,
task,Search GitHub for any external references using the repository full name (owner/repo) @people-self @place-anywhere @tools-github,2,1,,,,,
task,Search the web for the repository name and owner to surface unexpected references or mentions @people-self @place-anywhere @tools-browser,2,1,,,,,
task,Check any README files in related repositories for links pointing to this repo @people-self @place-anywhere @tools-github,3,1,,,,,
task,Check any published blog posts, articles, or newsletter issues that reference the repository @people-self @place-anywhere @tools-browser,3,1,,,,,
task,Document all discovered references in a single list for review @people-self @place-anywhere @tools-notes,2,1,,,,,

section,2️⃣ Define Canonical Identity,,,,,,
task,Write the canonical repository name — the definitive, human-readable title used everywhere @people-self @place-anywhere @tools-notes,1,1,,,,,
task,Write a single-line canonical description (under 160 characters) that accurately describes what the repo does and why it matters @people-self @place-anywhere @tools-writing,1,1,,,,,
task,Write a short blurb (2–3 sentences) suitable for use in bios, directory listings, and social posts @people-self @place-anywhere @tools-writing,1,1,,,,,
task,Confirm the canonical GitHub URL (e.g. https://github.com/owner/repo) — use this form consistently across all references @people-self @place-anywhere @tools-github,1,1,,,,,
task,Define the canonical set of tags or topics that should appear wherever the repo is listed @people-self @place-anywhere @tools-notes,2,1,,,,,
task,Save the canonical identity (name, description, blurb, URL, topics) in a single reference document @people-self @place-anywhere @tools-notes,2,1,,,,,

section,3️⃣ GitHub Repository Hygiene,,,,,,
task,Confirm the repository description in the About panel matches the canonical one-line description @people-self @place-anywhere @tools-github,1,1,,,,,
task,Confirm the repository website URL in the About panel is set and points to the correct destination @people-self @place-anywhere @tools-github,1,1,,,,,
task,Confirm the repository topics match the canonical tag set and are keyword-rich for discoverability @people-self @place-anywhere @tools-github,2,1,,,,,
task,Confirm the README title and opening paragraph are consistent with the canonical name and description @people-self @place-anywhere @tools-github,1,1,,,,,
task,Confirm the social preview image (Settings → Social Preview) is set and renders correctly when shared @people-self @place-anywhere @tools-github,2,1,,,,,
task,Confirm the CONTRIBUTING guide is present and references the correct repository URL @people-self @place-anywhere @tools-github,3,1,,,,,
task,Check that all internal cross-links in the README resolve correctly @people-self @place-anywhere @tools-github,2,1,,,,,

section,4️⃣ Social & Professional Profile Updates,,,,,,
task,Update LinkedIn bio or featured links to include the canonical repository URL and description @people-self @place-anywhere @tools-socials,2,1,,,,,
task,Update GitHub profile README to reference the repository using the canonical description @people-self @place-anywhere @tools-github,2,1,,,,,
task,Update X / Twitter bio link or pinned post if the repository is referenced there @people-self @place-anywhere @tools-socials,3,1,,,,,
task,Update any personal website or portfolio page that lists the repository @people-self @place-anywhere @tools-browser,2,1,,,,,
task,Update any Mastodon, Bluesky, or Threads profile that references the repository @people-self @place-anywhere @tools-socials,3,1,,,,,
task,For each platform updated — verify the URL resolves and the description reads correctly after saving @people-self @place-anywhere @tools-browser,2,1,,,,,

section,5️⃣ Directory & Listing Updates,,,,,,
task,Locate any package registry entries (npm, PyPI, crates.io, etc.) — update description and homepage URL if applicable @people-self @place-anywhere @tools-browser,2,1,,,,,
task,Check any Awesome List entries that reference this repository — verify the description and URL are current @people-self @place-anywhere @tools-github,2,1,,,,,
task,Update any developer directory or registry listings (e.g. libraries.io, opensourcealternative.to) @people-self @place-anywhere @tools-browser,3,1,,,,,
task,Update any community or forum posts where the repository is prominently featured @people-self @place-anywhere @tools-socials,3,1,,,,,
task,Check any documentation site or GitHub Pages site for stale repository references @people-self @place-anywhere @tools-browser,2,1,,,,,

section,6️⃣ Link & URL Validation,,,,,,
task,Verify the canonical repository URL redirects correctly (no 404s, no outdated branch references) @people-self @place-anywhere @tools-browser,1,1,,,,,
task,Test all links in the repository README — confirm each resolves to the expected destination @people-self @place-anywhere @tools-github,1,1,,,,,
task,Check for any hardcoded old URLs (previous repository names, owner changes, or renamed branches) @people-self @place-anywhere @tools-github,2,1,,,,,
task,Confirm any vanity URLs or short links pointing to the repository are still active @people-self @place-anywhere @tools-browser,2,1,,,,,
task,Check all badge URLs in the README — confirm they render and are pointing at the correct branch @people-self @place-anywhere @tools-github,2,1,,,,,

section,7️⃣ Unresolved References & Follow-Up Tracking,,,,,,
task,List any external references you found but cannot update (e.g. third-party articles, archived pages) @people-self @place-anywhere @tools-notes,2,1,,,,,
task,Note the platform, URL, and reason why each unresolved reference cannot be updated @people-self @place-anywhere @tools-notes,2,1,,,,,
task,For any reference that can be updated but requires more effort — create a dedicated follow-up task @people-self @place-anywhere @tools-notes,2,1,,,,,
task,Summarise what was fixed in this audit and what was left as a known gap @people-self @place-anywhere @tools-notes,2,1,,,,,
task,Schedule the next audit — recommended every 6 months or after any major rename, rebrand, or repository move @people-self @place-anywhere @tools-notes,3,1,,,,,
