TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Evaluate Trending Repos,,,,,,
task,Check that the README opens with a clear one-line summary of purpose and value,2,1,,,,,
task,Check README has a quick start guide and at least one usage example,2,1,,,,,
task,Rate project health across commits issues maintainer responsiveness and roadmap,2,1,,,,,
task,Decide an action for each repo: Star or Watch or Reference or Ignore,1,1,,,,,
section,2️⃣ Organise Your Stars as a Knowledge System,,,,,,
task,Star any newly selected repos and assign them to the appropriate GitHub Stars list,2,1,,,,,
task,Review your existing starred repos and remove any that are now stale or misaligned,3,1,,,,,
task,Check that your GitHub Stars lists accurately reflect your current focus areas,3,1,,,,,
task,Create or rename a Stars list if a new focus area has emerged this week,4,1,,,,,
section,3️⃣ Reverse Engineer High-Signal Repos,,,,,,
task,Pick one repo with over 1k stars from your shortlist to reverse engineer this week,2,1,,,,,
task,Analyse the README: what does it promise in the first 5 seconds?,2,2,,,,,
task,Identify the value proposition — what specific problem does it solve and for whom?,2,2,,,,,
task,Note how it is structured: quick start, philosophy, visuals, and CTA,3,2,,,,,
task,Extract one pattern or idea to apply to your own repository or work,1,2,,,,,
section,4️⃣ Extract Insights and Convert to Actions,,,,,,
task,List any tools, patterns, or approaches worth experimenting with,2,1,,,,,
task,Create follow-up tasks for any ideas that could be applied to your own repos,1,1,,,,,
task,Identify whether any trending repo overlaps with something you have already built,2,1,,,,,
task,Note any signals about where developer interest is shifting in your area,3,1,,,,,
section,5️⃣ Track Star Velocity and Momentum,,,,,,
task,Record the star count of your own repos today as a baseline for next week,3,1,,,,,
task,Note any recent changes that correlated with star increases (README updates, sharing),2,1,,,,,
task,Identify one concrete change to make this week to improve repo discoverability,1,1,,,,,
task,Schedule or draft a share or post based on any insight from this review,2,1,,,,,
section,6️⃣ Close the Review,,,,,,
task,Summarise the top 3 takeaways from this session in a note,2,1,,,,,
task,Update your repo shortlist with any additions, removals, or status changes,3,1,,,,,
task,Schedule the next weekly review,1,1,,,,,
