TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Creative Preparation,,,,,,
task,Identify show theme or feature artist,2,1,,,,,
task,Confirm any interviews or guest segments,2,1,,,,,
task,Create master playlist,1,1,,,,,
task,Add tracks to Spotify playlist,3,2,,,,,
task,Add tracks to Hugo content folder,3,2,,,,,
task,Curate tracks @duration-25m @tools-arrs @when-anytime,2,1,,,,,
task,Prepare Hugo draft page,1,1,,,,,
task,Update description (frontmatter),3,2,,,,,
task,Update summary (frontmatter),3,2,,,,,
task,Set featured_image (frontmatter),3,2,,,,,
task,Prepare rough script / running order,2,1,,,,,
task,Check track durations vs slot timing,1,1,,,,,
task,Prepare fallback tracks if timing changes,2,1,,,,,
section,2️⃣ Pre-Broadcast Logistics,,,,,,
task,Charge car,3,1,,,,,
task,Pack studio pass,1,1,,,,,
task,Pack USB stick containing media + backup,1,1,,,,,
task,Confirm studio access time,2,1,,,,,
task,Check travel conditions,4,1,,,,,
section,3️⃣ Studio Setup,,,,,,
task,Arrive 15 minutes early,2,1,,,,,
task,Load playlist into Meridian,1,1,,,,,
task,Stack first advert set,1,1,,,,,
task,Test microphone levels,1,1,,,,,
task,Confirm headphone levels,2,1,,,,,
task,Open running order and notes,2,1,,,,,
section,4️⃣ Live Broadcast,,,,,,
task,Deliver show intro confidently,2,1,,,,,
task,Monitor timing against running order,1,1,,,,,
task,Adjust filler tracks if required,2,1,,,,,
task,Note any corrections for blog write-up,3,1,,,,,
