TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Day 1 — Admin & Access,,,,,,
task,Collect laptop and equipment,1,1,,,,,
task,Set up work email account,1,1,,,,,
task,Configure two-factor authentication on all accounts,1,1,,,,,
task,Request access to key systems and tools,1,1,,,,,
task,Review and sign HR documents (contract, policies),1,1,,,,,
task,Set up payroll and bank details,1,1,,,,,
task,Obtain building access pass / remote access credentials,2,1,,,,,

section,2️⃣ Week 1 — People & Context,,,,,,
task,Meet your line manager and agree on initial priorities,1,1,,,,,
task,Schedule introductory 1:1s with immediate team members,1,1,,,,,
task,Review the team charter or working agreements,2,1,,,,,
task,Understand the team structure and reporting lines,2,1,,,,,
task,Learn the communication norms (Slack, email, meetings),2,1,,,,,
task,Find out where documentation and knowledge is stored,2,1,,,,,
task,Identify who to go to for common requests,3,1,,,,,

section,3️⃣ Week 2–4 — Learning,,,,,,
task,Shadow a team member or attend a key meeting,2,1,,,,,
task,Read key strategy or product documents,2,1,,,,,
task,Review recent project history and outcomes,2,1,,,,,
task,Understand how the team plans and tracks work,2,1,,,,,
task,Identify recurring ceremonies (standups, reviews, retros),2,1,,,,,
task,Review open tickets or backlog items,3,1,,,,,
task,Complete any mandatory training (compliance, security),1,1,,,,,

section,4️⃣ Month 1–3 — Early Wins,,,,,,
task,Define 30 / 60 / 90 day goals with manager,1,1,,,,,
task,Identify one quick win to deliver in first 30 days,1,1,,,,,
task,Contribute meaningfully to one team initiative,2,1,,,,,
task,Proactively share an observation or improvement idea,3,1,,,,,
task,Request feedback from manager at 30-day mark,1,1,,,,,
task,Request feedback from manager at 60-day mark,1,1,,,,,
task,Request feedback from manager at 90-day mark,1,1,,,,,

section,5️⃣ Ongoing — Relationships,,,,,,
task,Establish regular 1:1 cadence with manager,1,1,,,,,
task,Build relationships with cross-functional partners,2,1,,,,,
task,Find a mentor or buddy within the organisation,3,1,,,,,
task,Join relevant internal communities or working groups,3,1,,,,,
