TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ POCOs,,,,,,
task,Class scoped correctly,1,1,,,,,
task,Class inherits expected type(s),1,1,,,,,
task,Properties are in alphabetic order,2,1,,,,,
task,Navigation properties use ICollection or IReadOnlyCollection when set by aggregate root,1,1,,,,,
task,Lazy loaded properties are marked as virtual,1,1,,,,,
task,Eager loaded properties are not marked as virtual,1,1,,,,,
task,No Roslyn Analyzer warnings/errors,1,1,,,,,
section,2️⃣ Configuration,,,,,,
task,Index applied,1,1,,,,,
task,Has unique constraint been applied to index (if applicable),2,1,,,,,
task,Property requiredness set,1,1,,,,,
task,Unicode support set,1,1,,,,,
task,String lengths set,1,1,,,,,
task,Collations set,2,1,,,,,
task,Builder configuration uses AutoInclude for eagerly loaded properties,1,1,,,,,
