TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Review the Pre-Qualified Shortlist,,,,,,
task,Open the template README and read through the curated shortlist of target Awesome Lists,2,1,,,,,
task,Verify each shortlisted list is still actively maintained — check last commit date,1,1,,,,,
task,Verify each list's current star count and note whether it has grown or declined,2,1,,,,,
task,Review each list's CONTRIBUTING.md for any submission rules added since this template was created,1,1,,,,,
task,Confirm this repository still meets the quality bar for each list (README quality, star count, activity),2,1,,,,,
task,Remove any lists from your working shortlist that this repo no longer qualifies for,2,1,,,,,
task,Add any newly discovered relevant lists to your working shortlist with rationale,3,1,,,,,
section,2️⃣ Draft Your Submission Message,,,,,,
task,Open the submission message template from the README,2,1,,,,,
task,Personalise the one-line repo description for the specific audience of each target list,1,1,,,,,
task,Confirm the GitHub repo URL is correct and publicly accessible,1,1,,,,,
task,Format your entry as a Markdown link matching the target list's existing style,2,1,,,,,
task,Cross-check your entry against nearby entries in the target list for tone and length consistency,2,1,,,,,
task,Prepare the reusable PR description — adapt for each list as needed,2,1,,,,,
section,3️⃣ Submit to Each Shortlisted List,,,,,,
task,Fork the first target awesome list repo,2,1,,,,,
task,Create a submission branch (e.g. add-todoist-playbook),2,1,,,,,
task,Add your entry in the appropriate section of the list README,2,1,,,,,
task,Open a pull request using the reusable PR description from Section 2,2,1,,,,,
task,Record the PR URL and submission date in the tracking table in the README,1,1,,,,,
task,Repeat for each remaining list in the shortlist,2,1,,,,,
section,4️⃣ Track & Follow Up,,,,,,
task,Review all open PRs after 7 days and respond to any maintainer comments,1,1,,,,,
task,Update the tracking table status for any merged or closed PRs,2,1,,,,,
task,If a PR is rejected — note the reason and decide whether to revise the entry or move on,2,1,,,,,
task,Follow up with a polite note on any PR that has been open for 14+ days with no response,3,1,,,,,
task,After 30 days — review the tracking table and close out any stale submissions,3,1,,,,,
task,Verify that any merged listings display correctly on the live awesome list,2,1,,,,,
