TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,Target Artists & Research,,,,,,
task,Build shortlist of artists to invite,2,1,,,,,
task,Prioritize shortlist by release relevance and audience fit,2,1,,,,,
task,Research latest release, tour dates, and current activity for top targets,2,1,,,,,
section,Contact Discovery,,,,,,
task,Find direct contact details for artist or band,2,1,,,,,
task,Find backup contact route (manager, label, booking, or press),3,1,,,,,
task,Verify contact details before outreach,2,1,,,,,
section,Initial Outreach Email,,,,,,
task,Personalize invite using latest release and artist context,1,1,,,,,
task,Copy initial outreach email template from README,1,1,,,,,
task,Copy agent or label outreach variant from README when needed,2,1,,,,,
task,Send invite email and log date sent,1,1,,,,,
section,Follow-Up Cadence,,,,,,
task,Set reminder for 7-day follow-up,2,1,,,,,
task,Copy 7-day follow-up template from README,2,1,,,,,
task,Send follow-up email and log date sent,2,1,,,,,
task,Set final nudge reminder for 14 days after initial contact,3,1,,,,,
section,Booking & Studio Logistics,,,,,,
task,Confirm interview date and time window,1,1,,,,,
task,Confirm number of guests and names for studio access,2,1,,,,,
task,Share travel directions to East Coast FM studio in Haddington,2,1,,,,,
task,Confirm any on-air links or release plugs to mention,2,1,,,,,
section,Interview Preparation,,,,,,
task,Prepare concise interview outline (journey, releases, collaborations, next steps),1,1,,,,,
task,Prepare backup questions for short answers or timing gaps,2,1,,,,,
task,Review guest tracks to support relevant talking points,2,1,,,,,
section,Post-Confirmation Admin,,,,,,
task,Add guest slot to show running order,1,1,,,,,
task,Draft social teaser copy for upcoming guest appearance,3,1,,,,,
task,Prepare thank-you follow-up task for post-interview,3,1,,,,,
task,Record outcomes and future collaboration opportunities,3,1,,,,,
