TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Code Hygiene,,,,,,
task,Resolve all compilation warnings,1,1,,,,,
task,SA1200 – ensure using directives are alphabetised,2,1,,,,,
task,SA1028 – ensure closing curly brace } is on its own line,2,1,,,,,
task,SA1101 – ensure each method is documented with appropriate XML comments,2,1,,,,,
section,2️⃣ Unit Testing,,,,,,
task,Add relevant builders using the builder pattern for complex test objects,2,1,,,,,
task,Ensure builders create objects that are easy to modify and extend for test scenarios,2,1,,,,,
task,Ensure each Action has unit tests covering Request / Handler / Behaviour,1,1,,,,,
task,Test the Request – validate input to the handler,2,2,,,,,
task,Test the Handler – validate the handler logic,2,2,,,,,
task,Test Behaviour – validate logging / transactions and other side effects,2,2,,,,,
task,Ensure each Action has a Validator test covering all input validation rules,1,1,,,,,
task,"Follow the unit test naming convention: MethodName_StateUnderTest_ExpectedResult",2,1,,,,,
section,3️⃣ Code Structure,,,,,,
task,Ensure each Action folder contains Request / Response / Handler / Validator,1,1,,,,,
task,Request – represents the data passed into the Action,2,2,,,,,
task,Response – represents the data returned after processing,2,2,,,,,
task,Handler – contains the logic that processes the Action,2,2,,,,,
task,Validator – ensures input is valid before the Action is processed,2,2,,,,,
section,4️⃣ Entity Framework,,,,,,
task,Ensure validation constraints align with EF entity model constraints (e.g. max-length),1,1,,,,,
task,Ensure AsNoTracking() is used for read-only queries,2,1,,,,,
task,Review entities to identify fields that would benefit from an index,2,1,,,,,
section,5️⃣ General Best Practices,,,,,,
task,Leverage Global Usings to reduce redundant file-level using statements,2,1,,,,,
task,Ensure DTOs follow the MapToDto naming convention (e.g. UserMapToDto),2,1,,,,,
task,Ensure the Handler implements validation logic (e.g. via FluentValidation),1,1,,,,,
task,Ensure the Handler inherits from BaseHandler,2,1,,,,,
section,6️⃣ General Structure & Readability,,,,,,
task,Is the code easy to understand without excessive comments?,2,1,,,,,
task,Are functions and methods named clearly and concisely?,2,1,,,,,
task,Are complex or nested blocks refactored for clarity?,2,1,,,,,
task,Are files and classes named using .NET PascalCase conventions?,2,1,,,,,
task,Does the code use a consistent indentation style throughout?,2,1,,,,,
section,7️⃣ DRY – Don't Repeat Yourself,,,,,,
task,Is there any duplicate code that can be extracted into a reusable method or class?,2,1,,,,,
task,Can any logic be abstracted into reusable functions or components?,2,1,,,,,
task,Are magic numbers or strings replaced with named constants or enums?,2,1,,,,,
task,Are utility methods or extension methods used where appropriate?,2,1,,,,,
section,8️⃣ Method Design,,,,,,
task,Are methods small and focused (Single Responsibility Principle)?,2,1,,,,,
task,Are methods generally under 20–30 lines in length?,2,1,,,,,
task,Are method signatures clear and avoiding excessive parameters?,2,1,,,,,
task,Are methods and classes loosely coupled to facilitate testing?,2,1,,,,,
section,9️⃣ Naming Conventions,,,,,,
task,Are classes / methods / properties using PascalCase?,2,1,,,,,
task,Are local variables and parameters using camelCase?,2,1,,,,,
task,Are names meaningful and descriptive – avoiding unclear abbreviations?,2,1,,,,,
section,🔟 Clean Code & SOLID Principles,,,,,,
task,S – Single Responsibility Principle: each class has one reason to change,2,1,,,,,
task,O – Open/Closed Principle: open for extension; closed for modification,2,1,,,,,
task,L – Liskov Substitution Principle: subtypes are substitutable for base types,2,1,,,,,
task,I – Interface Segregation Principle: no class depends on methods it does not use,2,1,,,,,
task,D – Dependency Inversion Principle: depend on abstractions not concretions,2,1,,,,,
task,Are hardcoded values replaced with constants or configuration?,2,1,,,,,
task,Are exceptions handled correctly and not swallowed silently?,2,1,,,,,
task,"Are async/await patterns used correctly (no Task.Wait() or Task.Result blocking calls)?",2,1,,,,,
section,1️⃣1️⃣ Testing & Testability,,,,,,
task,Is there sufficient unit test coverage including boundary and edge cases?,1,1,,,,,
task,Are test names clear and descriptive?,2,1,,,,,
task,Are tests isolated and independent of each other?,2,1,,,,,
task,Are external services and databases mocked or stubbed in unit tests?,2,1,,,,,
section,1️⃣2️⃣ Error Handling & Logging,,,,,,
task,Are appropriate exception types caught with meaningful messages?,1,1,,,,,
task,Does logging follow a consistent format?,2,1,,,,,
task,Is sensitive data (e.g. passwords) excluded from log output?,1,1,,,,,
section,1️⃣3️⃣ Performance Considerations,,,,,,
task,Are there obvious performance bottlenecks such as expensive operations in loops?,2,1,,,,,
task,Is the code making efficient use of resources (no memory or connection leaks)?,2,1,,,,,
task,Are appropriate collections and data structures chosen for the task?,2,1,,,,,
