TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,Guest Preparation,,,,,,
task,Confirm guest availability and schedule,1,1,,,,,
task,Research guest background,2,1,,,,,
task,Prepare interview questions,1,1,,,,,
task,Confirm talking points,2,1,,,,,
task,Check interview timing within show schedule,2,1,,,,,
section,Promotion Preparation,,,,,,
task,Prepare promotional copy for guest appearance,2,1,,,,,
task,Collect guest social links,3,1,,,,,
task,Confirm any media assets or photos,3,1,,,,,
section,Post-Interview,,,,,,
task,Send thank-you message to guest,2,1,,,,,
task,Capture notes for blog post,2,1,,,,,
task,Log potential future collaborations,3,1,,,,,
