TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Understand the Change,,,,,,
task,Read pull request description,1,1,,,,,
task,Confirm the change solves the intended problem,1,1,,,,,
task,Check linked issue or ticket for context,2,1,,,,,
task,Confirm scope of changes is appropriate,2,1,,,,,
section,2️⃣ Code Quality,,,,,,
task,Check for TODO or FIXME comments left in code,1,1,,,,,
task,Check for hard-coded values or magic numbers,1,1,,,,,
task,Confirm meaningful variable and method names,2,1,,,,,
task,Confirm code readability and structure,2,1,,,,,
task,Check for duplicate or unnecessary code,2,1,,,,,
section,3️⃣ Style & Standards,,,,,,
task,Ensure linting or static analysis rules pass,1,1,,,,,
task,Confirm code formatting is consistent,2,1,,,,,
task,Verify naming conventions are followed,2,1,,,,,
task,Check comments are clear and helpful,3,1,,,,,
section,4️⃣ Architecture & Design,,,,,,
task,Confirm design aligns with existing architecture,1,1,,,,,
task,Check separation of concerns is maintained,2,1,,,,,
task,Verify dependencies are appropriate,2,1,,,,,
task,Check for unnecessary complexity,2,1,,,,,
section,5️⃣ Testing,,,,,,
task,Confirm appropriate tests are included,1,1,,,,,
task,Review test coverage of new behaviour,2,1,,,,,
task,Ensure tests are meaningful and maintainable,2,1,,,,,
task,Confirm tests fail if behaviour breaks,2,1,,,,,
section,6️⃣ Reliability & Observability,,,,,,
task,Confirm service includes health checks where appropriate,1,1,,,,,
task,Verify logging is meaningful and not excessive,2,1,,,,,
task,Check error handling and failure paths,1,1,,,,,
task,Ensure retry or resilience patterns are used appropriately,2,1,,,,,
section,7️⃣ Configuration & Security,,,,,,
task,Check secrets are not committed to code,1,1,,,,,
task,Ensure configuration values are externalised,1,1,,,,,
task,Verify environment-specific configuration is handled correctly,2,1,,,,,
task,Check dependencies for security concerns,2,1,,,,,
section,8️⃣ Performance Considerations,,,,,,
task,Check for inefficient loops or queries,2,1,,,,,
task,Ensure large objects or data are handled efficiently,2,1,,,,,
task,Confirm async patterns are used correctly where appropriate,2,1,,,,,
section,9️⃣ Deployment & Operations,,,,,,
task,Confirm infrastructure changes are included if required,2,1,,,,,
task,Check monitoring and alerts are considered,3,1,,,,,
task,Ensure backward compatibility if required,2,1,,,,,
task,Confirm migration or rollout considerations,2,1,,,,,
section,🔟 Final Review,,,,,,
task,Confirm code is understandable by other engineers,1,1,,,,,
task,Leave constructive feedback in PR comments,1,1,,,,,
task,Approve PR or request changes,1,1,,,,,
