TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,Publishing,,,,,,
task,Finalise Hugo content,1,1,,,,,
task,Update broadcast date in title,2,2,,,,,
task,Set draft=false in frontmatter,2,2,,,,,
task,Publish site,1,1,,,,,
section,Media Distribution,,,,,,
task,Upload recording to Mixcloud,1,1,,,,,
task,Embed Mixcloud player in post,2,1,,,,,
task,Share listen-again link,2,1,,,,,
section,Archiving,,,,,,
task,Archive show assets to correct folder,2,1,,,,,
task,Back up recording to storage,2,1,,,,,
section,Reflection,,,,,,
task,What worked well?,3,1,,,,,
task,What could improve next week?,3,1,,,,,
task,Capture new show ideas,3,1,,,,,
