TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Bills & Utilities,,,,,,
task,Review all direct debits and standing orders,1,1,,,,,
task,Check broadband contract — renegotiate if out of term,2,1,,,,,
task,Check energy tariff — switch if better rate available,2,1,,,,,
task,Check mobile phone contract — negotiate or switch,3,1,,,,,
task,Review streaming subscriptions — cancel unused ones,3,1,,,,,
task,Check council tax band — appeal if potentially incorrect,3,1,,,,,

section,2️⃣ Insurance Renewals,,,,,,
task,Renew or switch home insurance,1,1,,,,,
task,Renew or switch contents insurance,1,1,,,,,
task,Renew or switch car insurance — compare before accepting renewal,1,1,,,,,
task,Renew or switch life insurance if applicable,2,1,,,,,
task,Review excess amounts and coverage on all policies,2,1,,,,,
task,Store updated insurance documents in a safe location,2,1,,,,,

section,3️⃣ Vehicle & MOT,,,,,,
task,Book MOT before expiry date,1,1,,,,,
task,Check tyre tread depth and pressure,2,1,,,,,
task,Check oil, coolant, and washer fluid levels,2,1,,,,,
task,Renew vehicle tax (road tax),1,1,,,,,
task,Check service schedule — book if due,2,1,,,,,
task,Check windscreen for chips — repair before MOT if needed,3,1,,,,,

section,4️⃣ Property & Home Maintenance,,,,,,
task,Test smoke and carbon monoxide alarms,1,1,,,,,
task,Book annual boiler service,1,1,,,,,
task,Check boiler pressure and bleed radiators if needed,2,1,,,,,
task,Inspect guttering and downpipes for blockages,3,1,,,,,
task,Check roof tiles and flashings for damage,3,1,,,,,
task,Service lawnmower and garden tools (seasonal),4,1,,,,,

section,5️⃣ Finance & Records,,,,,,
task,Review household budget vs actuals,1,1,,,,,
task,File receipts for any home improvement work,2,1,,,,,
task,Check that all warranties are registered and stored,2,1,,,,,
task,Shred outdated documents (older than 7 years),3,1,,,,,
task,Back up important household documents digitally,2,1,,,,,
