TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Choose Your Certification,,,,,,
task,Identify the certification role path that aligns with your career goals @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Browse the vendor's certification catalogue to map available credentials @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Confirm prerequisites and recommended experience for the target exam @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Check whether your employer will fund or reimburse the exam fee @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Record the chosen certification and exam code @people-self @place-anywhere @tools-todoist,1,1,,,,,

section,2️⃣ Build Your Study Plan,,,,,,
task,Review the official exam skills outline on the vendor's learning portal @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Estimate total study hours required based on existing knowledge @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Set a target exam date and work backwards to create a study schedule @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Block daily or weekly study time in your calendar @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Define a clear pass/fail success criterion before you start @people-self @place-anywhere @tools-todoist,2,1,,,,,

section,3️⃣ Gather Study Materials,,,,,,
task,Locate the official learning path for the exam from the vendor's portal @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Find official or third-party practice tests (e.g. MeasureUp or Whizlabs) @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Search Pluralsight and Udemy for exam-focused video courses @people-self @place-anywhere @tools-todoist,3,1,,,,,
task,Find a recommended study guide book if available @people-self @place-anywhere @tools-todoist,3,1,,,,,
task,Bookmark key documentation pages for the exam topics @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Join relevant study communities on Reddit or Discord for the exam @people-self @place-anywhere @tools-todoist,3,1,,,,,

section,4️⃣ Study & Practice,,,,,,
task,Complete the official learning modules for each skills area @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Complete hands-on labs and sandbox exercises @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Take a full-length timed practice exam (first attempt) @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Review incorrect answers and revisit those topics in depth @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Work through flash cards or a spaced-repetition deck for key terms @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Take a second timed practice exam and target ≥ 80% pass score @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Review remaining weak areas identified from practice exams @people-self @place-anywhere @tools-todoist,1,1,,,,,

section,5️⃣ Register for the Exam,,,,,,
task,Create or log in to your account on the exam vendor's portal @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Select the exam and choose a delivery method (online or test centre) @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Book a date and time via the vendor's approved testing partner (e.g. Pearson VUE or PSI) @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Record the exam confirmation number and booking details @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Submit exam fee expense claim to employer if applicable @people-self @place-anywhere @tools-todoist,2,1,,,,,

section,6️⃣ Pre-Exam Preparation,,,,,,
task,Review the exam policies and permitted items (ID, rules for online proctoring) @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Confirm test centre address or online check-in instructions @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Do a final review of the skills outline to ensure full topic coverage @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Avoid heavy studying on the day before the exam — rest and recharge @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Prepare valid photo ID and any required documents for check-in @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Get a full night of sleep before exam day @people-self @place-anywhere @tools-todoist,1,1,,,,,

section,7️⃣ Sit the Exam,,,,,,
task,Arrive at the test centre or log in online 15–30 minutes early @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Complete the check-in process and identity verification @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Read all instructions carefully before starting @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Work through questions — flag uncertain ones for review @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Review flagged questions before submitting @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Submit the exam and note your score report @people-self @place-anywhere @tools-todoist,1,1,,,,,

section,8️⃣ Post-Exam Follow-Up,,,,,,
task,Record the result (pass or fail) and your score breakdown @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,If passed: accept the digital badge from the vendor (e.g. Credly) @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,If passed: add certification to LinkedIn profile @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,If passed: update your CV/resume and email signature @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,If passed: share the achievement with your manager @people-self @place-anywhere @tools-todoist,3,1,,,,,
task,If failed: review the score report to identify weak areas @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,If failed: schedule a retake date and update your study plan @people-self @place-anywhere @tools-todoist,1,1,,,,,
task,Note the certification expiry date and set a renewal reminder @people-self @place-anywhere @tools-todoist,2,1,,,,,
task,Identify the logical next certification in your chosen role path @people-self @place-anywhere @tools-todoist,3,1,,,,,
