TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=board,,,,,,,,,,,,,
section,🎧 Preparation,,,,,,,,,,,,,
task,Select Album of the Week,,,1,1,,,,,,,,,
task,Copy album from source to staging area,Create a working copy of the selected album in a staging area before metadata tagging. Keep the original source files untouched so any mistakes from third-party tagging tools do not compromise the original files.,,,2,1,,,,,,,,,
task,Move copied album into artist-named folder,Place the copied album into a folder named after the album's primary artist so the staging area stays consistently organised for tagging and review.,,,2,1,,,,,,,,,
task,Move copied album into release-named folder,Place the copied album into a folder named after the release so it is clearly identifiable within the artist folder during tagging and review.,,,2,1,,,,,,,,,
task,With the copy, delete ancillary files,Remove ancillary files from the copied album so only review-relevant audio assets remain in the working set before tagging and broadcast prep.,,,2,1,,,,,,,,,
task,Update Lidarr to prevent re-download of selected album,Open Lidarr and mark the selected album so it will not be automatically downloaded again.,,,2,1,,,,,,,,,
task,"Gather background info (artist, release, context)",,,2,1,,,,,,,,,
task,Research artist history and discography,,,3,2,,,,,,,,,
task,"Note release year, label, and production credits",,,3,2,,,,,,,,,
section,🎶 Listening & Notes,,,,,,,,,,,,,
task,First listen - no notes (full album),,,1,1,,,,,,,,,
task,Second listen - detailed notes,,,1,1,,,,,,,,,
task,Check tracks for explicit content,Review each track for explicit lyrics or content unsuitable for broadcast. Remove any flagged tracks from broadcast consideration immediately.,,,1,1,,,,,,,,,
task,Identify standout tracks,,,1,1,,,,,,,,,
task,Note key themes and lyrical content,,,2,2,,,,,,,,,
task,Note production highlights and sonic details,,,2,2,,,,,,,,,
task,Rate the album overall,,,2,1,,,,,,,,,
section,🎙️ Review Preparation,,,,,,,,,,,,,
task,Draft talking points for each section,,,1,1,,,,,,,,,
task,Select track(s) to feature on air and add them to the 'to-playlist' playlist on Spotify,Choose one or more tracks from the album to air. Add each selected track to the Spotify playlist called 'to-playlist'.,,,1,1,,,,,,,,,
task,Prepare narrative or storytelling angle,,,2,1,,,,,,,,,
task,Time check - confirm track selections fit the slot,,,2,1,,,,,,,,,
section,📻 Broadcast & Content,,,,,,,,,,,,,
task,Deliver album review on show,,,1,1,,,,,,,,,
task,Capture any highlights or memorable moments,,,2,1,,,,,,,,,
task,Record or publish supporting content (if applicable),,,3,1,,,,,,,,,
task,Log listener feedback or reactions,,,3,1,,,,,,,,,
section,📣 Promotion,,,,,,,,,,,,,
task,Post about the album on social media,,,3,1,,,,,,,,,
task,Add album to website or playlist,,,3,1,,,,,,,,,
task,Tag artists and labels in posts (if applicable),,,4,1,,,,,,,,,
