TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,,
section,1️⃣ Select candidates from Todoist trending feed,,,,1,,,,,,,,,
task,Shortlist 3 to 5 repos from today's imported GitHub Trending feed for review @people-self @place-anywhere @tools-github @when-sod-personal-pre-training,"Open the Todoist project populated by the daily GitHub Trending sync, then pick 3 to 5 repos for today's review batch.",,3,1,,,today at 05:30,en,Europe/London,10,minute,,
section,2️⃣ Quick triage - fit and quality checks,,,,1,,,,,,,,,
task,"Check the README opening clearly states purpose, audience, and value @people-self @place-anywhere @tools-github @when-sod-personal-pre-training","Pass if the opening lines explain what the project does, who it is for, and the main value or problem it addresses.",,3,1,,,,,,2,minute,,
task,Check the README includes quick start install and run steps plus one runnable example @people-self @place-anywhere @tools-github @when-sod-personal-pre-training,"Pass if the README includes prerequisites, an install step, a run step, and one concrete usage example with expected output or outcome.",,3,1,,,,,,5,minute,,
task,Assess repo traction using star count and trending momentum @people-self @place-anywhere @tools-github @when-sod-personal-pre-training,"Pass if stars are increasing in the trending feed (day-over-day) or if the repo has gained at least 20 stars in the last 7 days. Lower total star counts are acceptable when momentum is clearly upward.",,3,1,,,,,,1,minute,,
task,Confirm the repository language and stack align with your focus areas @people-self @place-anywhere @tools-github @when-sod-personal-pre-training,"Review the repository's primary language, framework, and core dependencies to confirm alignment with your focus areas (such as work stack, learning goals, or active projects).",,3,1,,,,,,1,minute,,
task,Validate that licence terms allow your intended use and distribution @people-self @place-anywhere @tools-github @when-sod-personal-pre-training,"Pass if the licence permits your intended use (such as commercial use, modification, and redistribution) and does not introduce obligations you cannot meet.",,3,1,,,,,,1,minute,,
section,3️⃣ Deep Review - health and maintainability checks,,,,1,,,,,,,,,
task,"Check project health using commit activity, issue handling, maintainer responsiveness, and roadmap updates @people-self @place-anywhere @tools-github @when-sod-personal-pre-training","Review recent commit activity, issue response quality, maintainer follow-through, and roadmap updates to decide whether the project shows active, reliable maintenance.",,3,1,,,,,,3,minute,,
section,4️⃣ Decide Next Action,,,,1,,,,,,,,,
task,"Choose one next action for each repo: Star, Watch, Reference, or Ignore @people-self @place-anywhere @tools-github @when-sod-personal-pre-training","Give every reviewed repo a clear next step. Use Star to bookmark it for later, Watch to follow updates, Reference to save it for a specific use case or note, and Ignore when it is not relevant to your current goals.",,3,1,,,,,,1,minute,,
section,5️⃣ Follow-Up Actions,,,,1,,,,,,,,,
task,"Add starred, watched, or referenced repos to your GitHub Trending Tracker project @people-self @place-anywhere @tools-github @when-sod-personal-pre-training","If you Star, Watch, or Reference a repo today, add it to your GitHub Trending Tracker project and include a short note on why it is worth following or how you plan to use it.",,3,1,,,,,,2,minute,,
section,6️⃣ Capture Notes and Archive,,,,1,,,,,,,,,
task,Summarise 2 to 3 recurring themes across today's candidate repos @people-self @place-anywhere @tools-github @when-sod-personal-pre-training,"Capture 2 to 3 clear patterns from today's shortlist (for example repeated problem spaces, stack choices, or UX trends) and add one short implication for what to track or prioritise next.",,3,1,,,,,,2,minute,,
