TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
section,1️⃣ Preparation,,,,1,,,,,,,,,
task,Review the job description and role requirements,,,2,1,,,,en,,,,,
task,Confirm the evaluation criteria (communication clarity, confidence, relevance),,,2,1,,,,en,,,,,
task,Open the Willo dashboard and confirm all video submissions are received,,,1,1,,,,en,,,,,
task,Prepare a scoring sheet or note-taking format for each candidate,,,2,1,,,,en,,,,,
section,2️⃣ Video Review,,,,1,,,,,,,,,
task,Watch each candidate video in full without interruption,,,1,1,,,,en,,,,,
task,Log structured notes for each candidate immediately after watching,,,1,1,,,,en,,,,,
task,Note communication clarity and how well each candidate articulates answers,,,2,1,,,,en,,,,,
task,Note confidence and presentation style for each candidate,,,2,1,,,,en,,,,,
task,Note how relevant each candidate's responses are to the role requirements,,,2,1,,,,en,,,,,
section,3️⃣ Candidate Evaluation,,,,1,,,,,,,,,
task,Score each candidate against the agreed evaluation criteria,,,1,1,,,,en,,,,,
task,Flag any standout strengths or significant concerns per candidate,,,2,1,,,,en,,,,,
task,Re-watch any responses where you are uncertain about a score,,,3,1,,,,en,,,,,
task,Rank candidates by overall evaluation score,,,2,1,,,,en,,,,,
task,Identify any candidates who require a second reviewer,,,3,1,,,,en,,,,,
section,4️⃣ Shortlisting,,,,1,,,,,,,,,
task,Categorise each candidate: shortlist / maybe / no progression,,,1,1,,,,en,,,,,
task,Review borderline (maybe) candidates for a final decision,,,2,1,,,,en,,,,,
task,Confirm the shortlist size against available interview slots,,,2,1,,,,en,,,,,
task,Share shortlist and evaluation notes with the hiring team,,,1,1,,,,en,,,,,
section,5️⃣ Follow-up Actions,,,,1,,,,,,,,,
task,Send rejection emails to no-progression candidates,,,2,1,,,,en,,,,,
task,Notify shortlisted candidates of their next steps,,,1,1,,,,en,,,,,
task,Schedule next-stage interviews for shortlisted candidates,,,2,1,,,,en,,,,,
task,Archive Willo submissions and evaluation notes,,,3,1,,,,en,,,,,
