TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Re-orient,,,,,,
task,Review carry-over items from Weekly Close @people-self @place-anywhere @tools-todoist @when-evening @duration-10m,1,1,,,,,
task,Decide what to drop, defer, or recommit @people-self @place-anywhere @tools-todoist @when-evening @duration-10m,1,1,,,,,

section,2️⃣ Plan the Future,,,,,,
task,Review the next 7 to 14 days of calendar and deadlines @people-self @place-anywhere @tools-todoist @when-evening @duration-25m,1,1,,,,,
task,Define top 3 priorities for next week @people-self @place-anywhere @tools-todoist @when-evening @duration-25m,1,1,,,,,
task,Schedule key commitments @people-self @place-anywhere @tools-todoist @when-evening @duration-25m,1,1,,,,,
task,Remove or renegotiate non-essential tasks @people-self @place-anywhere @tools-todoist @when-evening @duration-25m,2,1,,,,,

section,3️⃣ Set Intentions,,,,,,
task,Choose one stretch goal for the week @people-self @place-anywhere @tools-todoist @when-evening @duration-10m,2,1,,,,,
task,Write one sentence that defines success by Friday @people-self @place-anywhere @tools-todoist @when-evening @duration-5m,2,1,,,,,
task,Create first deep-work block on calendar @people-self @place-anywhere @tools-todoist @when-evening @duration-10m,1,1,,,,,
